codigo_osinergmin,marca,zona,distrito,direccion,lat,lon,premium_lista,descuento,premium_final,regular_lista,diesel_lista
"16703","COESTI (Primax)","LIMA","MIRAFLORES","AV. PASEO DE LA REPUBLICA N° 5545 ESQUINA CON LA AV. RICARDO PALMA","-12.1195","-77.02522","23.59","1","22.59","21.59","25.89"
"9423","COESTI (Primax)","LIMA","SANTIAGO DE SURCO","AV. MARISCAL CASTILLA N° 905","-12.135245","-77.00719","23.69","1","22.69","21.99","25.39"
"16728","COESTI (Primax)","LIMA","MAGDALENA DEL MAR","AV. BRASIL N° 4191 - 4193 ESQ. CON AV. DEL EJERCITO Y JR. HIPOLITO UNANUE","-12.0971","-77.0717","23.69","1","22.69","22.29","25.89"
"6780","COESTI (Primax)","LIMA","SAN MIGUEL","AV. ELMER FAUCETT NO. 384","-12.067215","-77.09726","23.79","1","22.79","21.49","28.49"
"16619","COESTI (Primax)","LIMA","SAN ISIDRO","AV. AUGUSTO PEREZ ARANIBAR (ANTES AV. DEL EJERCITO) N° 2199 ESQ. AV. SALAVERRY","-12.103248","-77.05831","23.89","1","22.89","21.69","25.89"
"16803","COESTI (Primax)","LIMA","MAGDALENA DEL MAR","AV JAVIER PRADO N° 2504 ESQUINA CALLE FLORA TRISTAN","-12.093612","-77.05724","23.89","1","22.89","21.89","25.69"
"6779","COESTI (Primax)","LIMA","MAGDALENA DEL MAR","AV. DEL EJERCITO N° 965, 967 Y 973, LOTES 1, 3, 16C, 17 Y 18 DE LA MZ. 68, URB. SAN FELIPE","-12.100342","-77.062","23.89","1","22.89","21.89","25.89"
"8332","COESTI (Primax)","LIMA","JESUS MARIA","GREGORIO ESCOBEDO ESQ. CON HUIRACOCHA","-12.084034","-77.05193","23.89","1","22.89","21.95","25.89"
"83174","AVA (Global Fuel)","LIMA","LURIN","CARRETERA PANAMERICANA SUR KM. 24","-12.246785","-76.93724","22.95","0","22.95","21.75","25.47"
"112178","AVA (Global Fuel)","LIMA","RIMAC","AV. FRANCISCO PIZARRO Nº 770, 772, 774, 776, 778, 780, 782, 784 Y 786 ESQ. CON AV. FELIPE ARANCIBIA","-12.033838","-77.0383","22.99","0","22.99","21.19","25.99"
"16612","AVA (Global Fuel)","LIMA","LIMA","AV. PETIT THOUARS N° 1148, URB. SANTA. BEATRIZ","-12.075592","-77.03486","22.99","0","22.99","21.59","26.99"
"7133","AVA (Global Fuel)","CALLAO","VENTANILLA","AV. PRECURSORES N° 202 (EX CARRETERA A VENTANILLA KM. 5.5)","-11.871835","-77.12705","22.99","0","22.99","21.59","25.59"
"6957","COESTI (Primax)","LIMA","SAN MIGUEL","AV. LA MARINA N° 2001 ESQ. CON UNIVERSITARIA","-12.0788","-77.08198","23.99","1","22.99","22.19","25.99"
"18429","COESTI (Primax)","LIMA","SAN ISIDRO","AV. PASEO DE LA REPUBLICA Nº 3890 CON AV. ARAMBURU","-12.102726","-77.02779","23.99","1","22.99","21.99","26.49"
"9113","COESTI (Primax)","LIMA","SAN ISIDRO","AV. JAVIER PRADO OESTE N° 1895 ESQUINA CALLE LOS CASTAÑOS","-12.095036","-77.0502","23.99","1","22.99","21.69","25.89"
"8035","COESTI (Primax)","LIMA","SAN BORJA","AV. AGUSTIN DE LA ROSA TORO N° 1312-1330-1334-1342-1346-1354-1358 ESQUINA CON AV. JAVIER PRADO ESTE N° 3095 URB. JACARANDA II - SECTOR CINCO","-12.086208","-76.99304","23.99","1","22.99","22.29","25.59"
"16617","Repsol","LIMA","SURQUILLO","AV. JOSE GÁLVEZ BARRENECHEA N° 1146 (ANTES AV. PRINCIPAL) ESQ. CON CALLE 32 URB. VILLA VICTORIA","-12.10735","-77.01062","25.99","3","22.99","22.99","27.99"
"16641","Repsol","LIMA","SANTIAGO DE SURCO","AV. TOMAS MARSANO ESQUINA CON AV. LOS PROCERES","-12.148319","-76.9861","25.99","3","22.99","23.99","27.99"
"9622","Repsol","LIMA","SAN ISIDRO","AV. PASEO PARODI 220","-12.091601","-77.030426","25.99","3","22.99","22.99","27.99"
"9584","Repsol","LIMA","SAN BORJA","AV. AVIACION N° 3401","-12.105375","-77.00084","25.99","3","22.99","23.99","27.99"
"8101","Repsol","LIMA","LA VICTORIA","AV. JAVIER PRADO ESTE Nº 1099 INTER. CON LA AV. NICOLAS ARRIOLA","-12.089751","-77.017715","25.99","3","22.99","22.99","27.99"
"19948","Repsol","LIMA","EL AGUSTINO","AV. PRIMERO DE MAYO N° 3090","-12.029673","-76.99872","25.99","3","22.99","23.99","27.99"
"7800","Repsol","LIMA","CHORRILLOS","PROLONGACIÓN AV. DEFENSORES DEL MORRO (EX HUAYLAS) N° 324-326, ESQUINA AV. JOSÉ ANTONIO LAVALLE N° 105, URB. SAN JUAN BAUTISTA DE VILLA","-12.194162","-77.00259","25.99","3","22.99","23.99","27.99"
"8590","Repsol","LIMA","CHACLACAYO","NICOLAS AYLLON Nº 2274","-11.97053","-76.75213","25.99","3","22.99","23.99","27.99"
"18555","Repsol","LIMA","ATE","AV. SEPARADORA INDUSTRIAL N° 3085, URB. MAYORAZGO CHICO, MZ. N, LOTES 7, 8, 9, 10, 11, 12, 13, 14, 15, 16 Y 17","-12.05339","-76.94191","25.99","3","22.99","22.99","27.99"
"34770","Repsol","LIMA","ATE","ESQ. AV. LOS INGENIEROS Y AV. SEPARADORA INDUSTRIAL N° 2503, MZ. E LOTE 14-2, URB. STA. RAQUEL 2DA. ETAPA","-12.059874","-76.95122","25.99","3","22.99","22.99","27.99"
"6824","Repsol","LIMA","ATE","AV. LA MOLINA N° 448","-12.060352","-76.96222","25.99","3","22.99","22.99","27.99"
"8225","Repsol","LIMA","ATE","AV. NICOLAS AYLLON N° 7174, URB. PARCELACIÓN LA ESTRELLA","-12.01694","-76.89136","25.99","3","22.99","23.99","27.99"
"16636","Repsol","CALLAO","CALLAO","AV. ELMER FAUCETT 6000 Y ESQUINA CON NESTOR GAMBETA S/N","-11.996818","-77.12426","25.99","3","22.99","23.99","27.99"
"86138","COESTI (Primax)","LIMA","LOS OLIVOS","AV. TOMAS VALLE, ESQUINA AV. BETA, SECCION A-1, FUNDO GARAGAY BAJO, SECTOR B","-12.010266","-77.07019","24.19","1","23.19","22.79","26.79"
"123805","COESTI (Primax)","LIMA","PUENTE PIEDRA","AV. INDUSTRIAL, MZ. F LOTE 5, ESQUINA AV. SAN JUAN, URB. LAS VEGAS","-11.863831","-77.06725","24.29","1","23.29","22.69","26.79"
"64257","COESTI (Primax)","CALLAO","CALLAO","ESQ. AV. QUILCA CON CALLE 10 - URB. SAN ALFONSO SANTA IRENE, MZ. A, LT. 01 Y 02","-12.030923","-77.0954","24.29","1","23.29","21.65","26.39"
"14648","COESTI (Primax)","LIMA","LA MOLINA","AV. MELGAREJO, ESQ. CON LA AV. UNIVERSIDAD","-12.075164","-76.93601","24.39","1","23.39","23.49","25.99"
"20129","COESTI (Primax)","LIMA","LA MOLINA","ESQ. AV. RAUL FERRERO CON AV. ALAMEDA DEL CORREGIDOR","-12.091887","-76.95276","24.39","1","23.39","23.29","25.99"
"87554","Repsol","LIMA","SAN BORJA","AV. JAVIER PRADO ESTE Nº 3160","-12.086843","-76.992096","26.49","3","23.49","23.99","27.99"
"31927","Repsol","LIMA","LA VICTORIA","AV. IQUITOS N° 1100. ESQUINA CON JIRON ITALIA N° 100","-12.071739","-77.02999","26.49","3","23.49","23.99","27.99"
