Nombre,Latitude,Longitude,Marca,Distrito,Zona,Direccion,Premium_con_descuento,Premium_lista,Descuento,Regular_lista,Diesel_lista,Codigo_Osinergmin,Actualizado
"Primax S/ 21.69","-12.112332","-77.00582","Primax","SURQUILLO","Lima","AV. ANGAMOS ESTE N° 2398, URB. LA CALERA DE LA MERCED","21.69","22.69","1.00","20.95","25.39","14754","2026-09-23"
"Primax S/ 21.69","-12.112739","-77.01237","Primax","SURQUILLO","Lima","AV. TOMAS MARSANO N° 1008 ESQUINA CON AV. ANGAMOS","21.69","22.69","1.00","20.69","24.89","7124","2026-09-23"
"Primax S/ 21.69","-12.148054","-76.98665","Primax","SANTIAGO DE SURCO","Lima","AV. SANTIAGO DE SURCO CON AV. LOS PROCERES","21.69","22.69","1.00","20.99","25.39","16805","2026-09-23"
"Primax S/ 21.69","-11.834281","-77.113525","Primax","PUENTE PIEDRA","Lima","AV. REPUBLICA DE CROACIA (ANTES AV. LEONCIO PRADO) CON AV. COPACABANA KM 35 DE LA PANAMERICANA. NORTE MZ. N LT 186","21.69","22.69","1.00","20.69","26.99","125601","2026-09-23"
"Primax S/ 21.69","-11.841835","-77.10399","Primax","PUENTE PIEDRA","Lima","AV. LEONCIO PRADO N° 780 (PANAMERICANA NORTE KM. 34.5)","21.69","22.69","1.00","20.69","26.99","6799","2026-09-23"
"Primax S/ 21.69","-12.127401","-77.023895","Primax","MIRAFLORES","Lima","PASEO DE LA REPUBLICA NO. 5789","21.69","22.69","1.00","20.69","24.49","6764","2026-09-23"
"Primax S/ 21.69","-12.094261","-77.07458","Primax","MAGDALENA DEL MAR","Lima","JR. SALAVERRY N°478-480","21.69","22.69","1.00","20.99","24.89","8538","2026-09-23"
"Primax S/ 21.69","-12.087218","-77.01639","Primax","LA VICTORIA","Lima","AV. NICOLAS ARRIOLA N° 295 URB. SANTA CATALINA","21.69","22.69","1.00","21.69","24.99","6783","2026-09-23"
"Primax S/ 21.69","-12.089146","-77.05869","Primax","JESUS MARIA","Lima","AV. FAUSTINO SANCHEZ CARRION Nº 471 ESQUINA CON JR. ESTADOS UNIDOS","21.69","22.69","1.00","21.59","25.39","14646","2026-09-23"
"Primax S/ 21.69","-12.059434","-77.058876","Primax","LIMA","Lima","AV. TINGO MARIA N° 1172-1194, ESQ. CON RAUL PORRAS BARRENECHEA","21.69","22.69","1.00","21.35","25.19","7109","2026-09-23"
